area,ciudad,s101p11,s101p12a,s101p12b,s101p12c,s101p12d,s101p12e,s101p3a,s101p3b,s101p4a,s101p4b,s101p4b1,s101p61,s101p62,s101p63,s101p64,s101p65,s101p66,s101p67,s101p68,s101p71,s101p72,s101p73,s101p74,s101p75,s101p76,s101p77,s101p13,s101p141,s101p142,s101p143,s101p144,s101p171,s101p172,s101p173,s101p174,s101p175,s101p176,s101p181,s101p182,s101p183
urbana,10150,1,2,2,2,2,2,12,0,14,14,14,2,2,2,2,1,2,2,2,1,1,2,2,1,2,2,5,2,2,1,2,5,3,5,5,5,1,1,5,1
urbana,10150,2,2,2,2,2,2,4,0,20,5,0,2,1,1,2,2,2,2,2,1,1,2,1,1,2,2,4,2,2,2,2,5,5,5,5,5,5,3,5,5
urbana,10150,1,2,2,2,2,2,0,0,5,5,0,2,2,3,3,3,3,3,3,2,1,2,2,1,2,2,3,2,1,1,2,5,5,5,5,5,2,5,4,3
urbana,10150,2,2,2,2,2,2,6,0,4,4,1,1,1,1,1,1,2,2,1,2,1,2,2,1,2,2,3,2,2,2,2,5,3,4,5,5,5,5,5,3
urbana,10150,2,2,2,2,2,2,4,0,10,10,0,1,2,1,2,2,1,2,2,1,1,2,1,1,1,2,4,2,2,2,2,5,5,5,5,5,1,1,5,5
urbana,10150,2,2,2,2,2,2,8,0,20,20,0,1,1,1,2,1,2,2,2,1,1,2,1,1,2,2,5,2,2,2,2,5,5,5,5,5,1,1,5,5
urbana,10150,2,2,2,2,2,2,6,0,6,6,6,2,2,1,1,1,1,2,2,1,1,2,1,1,1,2,4,2,2,2,2,5,3,5,5,5,1,99,5,1
urbana,10150,1,1,1,1,1,1,8,0,12,12,0,1,1,1,1,1,1,2,2,1,1,2,1,1,1,2,3,2,2,2,2,5,4,3,5,5,5,5,4,1
urbana,10150,2,2,2,2,2,2,2,0,6,6,0,1,1,2,1,1,2,2,2,1,1,3,2,1,2,2,3,2,2,2,2,5,5,5,5,5,1,1,5,1
urbana,10150,1,1,1,2,2,2,0,0,3,3,0,1,2,1,1,1,2,2,2,1,1,3,2,2,2,2,4,2,2,2,2,5,4,5,5,4,1,5,4,5
urbana,10150,2,1,1,2,1,2,6,0,8,8,0,1,1,1,1,1,2,1,1,2,1,2,1,1,1,2,4,2,2,2,2,5,5,5,5,5,1,5,5,4
urbana,10150,1,1,1,1,1,2,3,0,10,10,0,1,2,1,1,1,2,2,2,1,1,2,1,1,2,2,4,2,2,2,2,5,1,1,5,5,1,1,5,1
urbana,10150,2,1,2,2,2,2,2,0,5,5,0,2,1,1,1,1,2,2,2,1,1,2,2,2,1,2,3,2,2,2,2,2,2,4,4,4,4,5,4,4
urbana,10150,2,2,1,2,1,2,2,0,8,8,0,1,1,2,1,1,2,2,2,1,1,2,2,1,2,2,2,2,1,1,1,5,5,5,5,5,5,1,5,5
urbana,10150,1,1,1,2,2,2,9,4,15,15,0,2,1,1,1,2,2,2,2,1,1,2,2,1,2,2,4,2,2,2,2,5,5,5,5,5,1,3,3,3
urbana,10150,1,1,1,1,1,2,5,0,7,7,0,2,2,1,1,1,2,1,1,1,1,2,2,1,2,2,4,2,2,2,2,5,3,5,5,5,1,1,1,5
urbana,10150,1,2,2,2,2,2,8,0,25,5,0,1,1,1,1,2,2,2,2,1,1,2,2,1,1,2,4,2,2,2,2,5,1,1,5,5,1,5,5,5
urbana,10150,1,1,1,2,2,2,2,0,6,5,0,2,2,1,1,1,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,5,3,3,3,4,4,4
urbana,10150,2,1,2,2,2,2,10,0,12,12,0,2,1,1,2,1,1,2,1,1,1,2,1,1,1,2,3,2,2,2,2,5,2,5,5,5,1,1,5,5
urbana,10150,1,1,1,2,1,2,4,0,7,7,0,1,1,1,1,1,2,2,2,1,1,2,1,1,2,2,4,2,1,1,2,5,1,5,5,5,1,1,1,5
urbana,10150,1,2,2,2,2,2,12,0,20,20,0,2,1,1,1,1,2,2,2,2,1,2,1,1,2,2,1,2,2,2,2,5,2,5,5,5,2,2,4,5
urbana,10150,1,2,2,2,2,2,4,0,15,15,15,2,2,1,1,1,1,2,2,1,1,2,2,1,1,2,4,2,2,2,2,5,5,5,5,5,5,2,2,2
urbana,10150,1,1,1,2,2,2,15,8,17,8,8,2,2,2,2,1,2,2,2,1,1,2,2,1,2,2,3,2,2,2,2,5,3,5,5,5,2,2,4,5
urbana,10150,2,2,2,2,2,2,0,0,12,2,0,2,1,1,2,2,2,2,2,1,1,2,2,2,2,2,3,2,2,2,2,3,3,3,3,3,3,2,3,3
urbana,10150,1,1,1,1,1,1,7,0,10,10,8,1,2,1,1,1,1,1,2,1,1,2,2,1,1,2,4,2,2,2,2,5,5,5,5,5,1,1,5,5
urbana,10150,1,1,1,1,1,1,6,0,5,5,0,2,1,1,2,2,2,2,2,1,1,2,1,1,2,2,2,2,2,2,2,5,2,1,5,5,1,2,1,5
urbana,10150,1,1,1,1,1,1,1,0,20,20,0,2,1,1,1,1,2,2,2,1,1,2,2,1,2,2,5,2,2,2,2,5,5,5,5,5,5,1,5,5
urbana,10150,1,2,2,2,2,2,6,0,5,0,0,1,1,1,1,1,2,2,2,1,1,1,1,1,2,2,4,2,2,2,2,5,1,5,5,5,1,5,5,5
urbana,10150,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,2,2,2,1,1,2,1,1,2,2,4,2,2,2,2,5,5,5,5,5,1,1,5,1
urbana,10150,1,1,1,1,1,1,4,0,6,6,0,1,1,1,1,1,2,2,2,1,1,2,1,2,2,2,2,2,2,2,2,5,5,4,4,5,5,1,5,5
urbana,10150,1,1,1,1,1,2,2,0,16,16,0,1,1,1,1,1,2,2,2,1,1,2,1,1,2,2,4,2,2,2,2,5,1,1,5,5,1,4,1,3
urbana,10150,1,1,1,2,1,2,6,0,8,8,8,1,2,1,1,1,2,2,2,1,1,2,1,1,1,2,5,2,2,2,2,5,1,1,2,2,1,1,5,2
urbana,10150,2,2,2,2,2,2,10,0,15,15,15,1,1,1,1,1,2,1,2,2,1,2,1,1,2,2,4,2,1,2,1,5,1,5,3,5,5,5,5,5
urbana,10150,2,2,2,2,2,2,6,0,7,7,0,2,2,1,1,2,2,2,2,1,1,2,2,1,2,2,3,2,2,2,2,5,5,5,5,5,1,1,5,4
urbana,10150,2,2,2,2,2,2,2,2,10,10,10,2,1,2,1,1,2,2,2,1,1,2,1,1,2,2,5,2,2,2,2,5,4,5,3,5,5,1,4,2
urbana,10150,1,2,2,2,2,2,10,0,8,6,5,2,1,1,1,2,1,1,2,1,1,2,1,1,2,2,4,2,2,2,2,5,1,1,5,5,1,5,5,5
urbana,10150,1,1,1,1,1,1,4,0,10,10,10,1,1,1,1,1,2,2,1,1,1,2,2,1,2,2,4,2,2,1,1,2,5,5,5,5,5,3,5,4
urbana,10150,2,2,2,2,2,2,3,0,16,16,5,1,2,1,1,1,1,1,2,1,1,2,3,1,1,2,4,2,2,2,1,5,3,5,5,5,3,3,5,5
urbana,10150,2,2,2,2,2,2,4,0,7,7,7,2,1,1,1,2,1,2,2,1,1,2,2,1,2,2,4,2,2,2,2,5,5,5,5,5,1,1,5,3
urbana,10150,1,2,1,2,2,2,1,0,15,2,0,2,2,1,1,2,2,2,2,1,1,3,3,1,2,2,2,2,2,2,2,5,2,5,5,5,1,99,5,5
urbana,10150,1,1,1,1,1,2,2,0,7,7,0,1,2,1,1,1,2,2,2,2,1,2,2,1,2,2,3,2,2,2,2,5,5,5,5,5,3,3,5,5
urbana,10150,2,2,2,2,2,2,4,0,15,5,0,1,1,1,2,1,2,2,2,2,1,2,2,1,2,2,5,2,1,2,2,5,5,5,5,5,5,5,4,4
urbana,10150,2,1,1,1,1,2,4,0,10,5,5,1,1,1,2,1,2,2,2,1,1,2,1,1,2,2,5,2,2,1,1,5,3,5,5,5,1,1,5,1
urbana,10150,1,1,1,2,1,2,1,0,3,3,0,1,1,1,1,2,2,2,2,1,1,2,2,1,2,2,2,2,2,2,2,5,5,5,5,5,5,1,5,1
urbana,10150,1,1,1,1,1,2,2,0,4,4,0,2,2,1,1,1,2,2,2,1,1,3,2,1,2,2,5,2,2,2,2,3,5,1,1,5,5,1,5,2
urbana,10150,1,1,1,1,1,2,10,0,15,8,7,1,2,1,1,1,2,2,2,1,1,2,1,2,2,2,5,2,2,2,1,1,5,5,1,5,5,5,5,5
urbana,10150,1,1,1,1,1,1,7,0,12,9,3,2,1,1,1,1,2,2,2,1,1,2,1,1,1,2,5,2,2,2,2,5,4,5,5,5,1,1,2,5
urbana,10150,2,2,2,2,2,2,0,0,6,6,0,2,1,1,1,2,2,2,2,1,2,2,2,1,2,2,3,2,2,2,2,5,3,5,1,4,1,1,1,5
urbana,10150,1,1,1,1,1,2,8,0,14,10,4,2,1,1,2,1,1,2,2,2,1,2,2,1,1,2,2,2,2,2,2,2,3,2,4,2,2,1,5,5
urbana,10150,2,2,2,2,2,2,10,3,14,7,7,1,1,1,1,1,2,2,2,1,1,2,1,1,1,2,4,2,2,2,2,3,1,5,5,5,5,1,5,5
urbana,10150,2,2,1,1,2,2,10,0,18,9,9,1,1,2,1,2,2,2,2,2,1,2,1,1,2,2,1,2,2,2,2,5,1,5,5,5,1,1,5,1
urbana,10150,2,2,2,2,2,2,6,6,14,7,7,2,1,2,1,1,1,2,2,1,1,2,1,2,1,2,3,2,2,2,2,5,5,5,5,5,5,5,1,5
urbana,10150,1,1,1,1,1,2,4,0,5,5,0,1,1,1,1,1,2,2,2,1,1,2,2,1,2,2,3,2,2,2,2,5,5,5,5,5,4,1,4,4
urbana,10150,1,1,1,1,1,2,6,1,20,20,19,1,1,1,1,1,2,2,2,1,1,2,2,1,1,2,4,2,2,2,2,5,5,5,5,5,1,4,5,5
urbana,10150,1,1,1,1,1,2,4,0,4,4,0,2,2,1,1,2,2,2,2,1,1,2,2,1,1,2,3,2,2,2,2,5,3,5,5,5,1,1,5,5
urbana,10150,1,1,1,1,1,1,5,4,9,9,6,2,1,1,1,1,2,2,2,1,1,2,2,1,2,2,3,2,2,2,2,5,4,3,5,4,3,5,1,1
urbana,10150,1,1,1,1,1,1,0,0,7,7,0,2,1,1,2,2,1,2,2,1,1,2,1,1,1,2,4,2,2,2,2,5,1,5,5,5,1,1,5,1
urbana,10150,2,2,2,2,2,2,4,0,6,6,0,1,2,1,1,2,2,2,2,2,1,2,1,1,2,2,3,2,2,2,2,5,5,5,5,5,5,5,3,1
urbana,10150,2,1,1,2,2,2,5,0,6,3,0,2,1,1,2,1,2,2,2,1,1,2,2,1,1,2,4,2,2,2,2,5,2,5,5,5,1,1,5,5
urbana,10150,1,1,1,1,1,2,4,0,7,7,0,1,1,1,1,1,2,2,2,1,1,2,2,1,2,2,5,2,2,2,2,5,5,5,5,5,1,1,5,5
urbana,10150,2,2,2,2,2,2,11,3,12,7,5,1,1,1,1,1,2,2,2,1,1,2,1,1,2,2,3,2,2,2,2,5,5,5,5,5,1,5,4,1
urbana,10150,1,1,1,1,1,1,2,0,3,3,0,2,2,1,1,1,2,2,2,1,1,2,1,1,2,2,3,2,2,2,2,5,3,5,5,5,5,5,3,1
urbana,10150,1,1,1,1,1,1,2,1,9,9,0,1,1,1,1,1,2,2,2,1,1,2,2,1,2,2,3,2,2,2,2,5,5,5,5,3,1,5,1,1
urbana,10150,1,1,1,1,1,1,2,2,10,10,10,2,1,1,1,1,2,2,2,1,1,2,2,1,2,2,3,2,2,2,2,5,5,5,5,4,1,5,3,1
urbana,10150,1,1,1,1,1,1,2,2,14,14,14,1,1,1,1,1,2,2,2,1,1,2,2,1,2,2,1,2,2,2,2,5,1,5,5,5,1,1,5,1
rural,10151,2,2,2,2,2,2,4,0,12,12,0,2,1,1,1,1,2,2,2,1,1,2,1,1,2,2,3,2,2,2,2,5,5,5,4,4,1,5,5,5
rural,10151,1,1,1,2,2,2,5,0,7,7,0,2,1,1,1,1,1,2,2,2,1,2,1,1,2,2,4,2,2,2,2,5,5,5,5,5,1,5,5,3
rural,10151,1,1,1,1,1,1,5,0,15,10,0,1,1,2,1,1,2,2,1,2,2,2,1,1,1,2,4,1,1,2,2,5,1,5,5,5,1,1,5,5
rural,10151,1,2,2,2,2,2,5,0,9,9,0,2,1,1,2,2,2,2,2,1,1,3,2,1,2,2,4,2,2,2,2,5,4,5,5,5,1,5,5,5
rural,10151,2,2,2,2,2,2,5,0,12,12,9,2,1,1,1,1,1,1,2,1,1,2,1,1,2,2,4,2,2,2,2,5,5,5,5,5,3,5,5,5
rural,10151,1,2,2,2,2,2,4,0,14,7,7,1,2,1,2,2,2,2,2,1,1,2,2,1,1,2,4,2,2,2,2,5,3,4,5,5,1,4,4,5
rural,10151,1,2,2,1,2,2,4,0,7,7,0,2,1,2,1,2,2,2,2,2,1,3,2,1,1,2,3,2,2,2,2,5,3,3,5,5,1,4,3,5
rural,10151,1,1,1,2,1,2,4,4,4,4,0,2,1,1,2,1,1,2,2,1,1,2,1,2,2,2,5,2,2,2,2,4,4,4,4,5,2,5,1,4
rural,10151,2,2,2,2,2,2,8,0,12,12,0,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,5,2,2,2,2,5,5,5,5,5,3,5,5,2
rural,10151,2,1,1,1,1,1,5,0,6,3,0,1,1,1,1,1,1,1,2,1,1,2,2,1,2,2,5,2,2,2,2,3,1,1,1,1,1,5,5,5
rural,10151,1,2,2,2,2,2,4,0,6,6,0,1,1,1,2,2,2,2,2,1,1,2,2,1,1,1,5,2,2,2,2,5,3,3,5,5,1,4,5,5
rural,10151,1,2,2,2,2,2,4,0,10,10,0,2,1,1,1,2,2,2,2,1,1,1,1,1,2,2,1,2,2,2,2,5,5,5,5,5,5,1,5,5
urbana,10152,2,2,2,2,2,2,8,0,15,12,0,2,1,1,1,2,2,2,2,1,1,2,2,1,1,2,2,2,2,2,2,5,1,4,5,5,5,5,5,5
urbana,10152,1,2,2,2,2,2,0,0,5,5,0,1,1,1,1,1,2,2,2,1,1,2,2,1,2,2,3,2,2,2,2,5,2,2,4,5,1,1,4,4
urbana,10152,1,1,1,1,1,2,4,4,10,10,5,1,1,1,1,1,2,2,2,1,1,2,2,1,2,2,5,2,1,1,1,5,5,5,5,5,5,5,5,5
urbana,10152,2,2,2,2,2,2,0,0,2,2,0,1,1,1,1,1,1,2,2,1,1,2,2,1,2,2,4,2,2,2,2,5,5,5,5,5,5,5,5,5
urbana,10152,1,2,2,2,2,2,0,0,12,12,0,1,1,1,1,1,2,2,2,1,1,2,2,1,2,2,4,2,2,2,2,5,5,5,5,4,1,1,4,4
urbana,10152,2,2,2,2,2,2,0,0,2,2,2,2,2,1,2,1,2,2,2,1,1,3,2,1,2,2,1,2,2,2,2,1,1,1,1,1,5,1,1,1
urbana,10152,2,2,2,2,2,2,1,0,6,6,0,1,1,1,1,1,2,2,2,1,1,2,2,1,2,2,1,2,2,2,2,5,4,5,5,5,5,5,5,5
urbana,10152,1,2,2,2,2,2,10,0,8,8,0,1,1,1,1,2,2,2,2,2,1,2,2,1,2,2,4,2,2,2,2,5,5,5,5,5,1,1,1,1
urbana,10152,1,1,1,2,2,2,0,0,4,2,0,1,2,1,2,2,2,2,2,1,1,2,2,1,2,2,3,2,2,2,2,5,5,3,5,5,4,3,4,4
urbana,10152,1,1,1,1,1,2,3,0,7,7,7,2,2,1,1,1,2,2,2,2,1,2,2,1,1,2,1,2,2,2,2,5,5,5,5,5,5,5,5,5
urbana,10152,1,1,1,1,1,1,5,0,7,7,1,1,1,1,2,1,2,2,2,1,1,2,1,1,2,2,3,2,2,2,2,5,4,5,5,5,1,1,2,5
urbana,10152,1,1,1,1,1,2,2,0,5,5,0,1,2,1,2,1,2,2,2,1,1,2,2,1,1,2,1,2,2,2,2,5,3,3,5,5,1,1,5,1
rural,10154,1,2,2,2,2,2,2,0,10,10,0,2,1,1,2,2,2,2,2,1,1,2,1,1,2,2,1,2,2,2,2,3,3,3,3,3,3,3,3,3
rural,10154,2,1,1,1,2,2,2,0,4,4,0,2,2,1,1,1,2,2,2,2,1,1,1,1,2,2,3,2,2,2,2,3,3,3,99,3,3,3,3,3
rural,10154,1,1,1,1,1,1,0,0,5,5,0,1,1,1,1,1,1,1,2,1,1,2,1,1,2,2,2,2,2,2,2,1,1,1,4,4,4,2,1,1
rural,10154,1,1,1,1,1,1,0,0,10,10,0,2,1,1,1,1,2,2,2,1,1,2,2,2,1,1,4,2,2,2,2,1,1,1,1,1,5,1,5,5
rural,10154,1,1,1,2,2,2,0,0,5,2,0,2,1,1,1,2,2,2,2,2,1,2,2,1,2,2,3,2,2,2,2,5,5,4,4,4,1,3,1,4
rural,10154,1,2,2,2,2,2,0,0,4,4,0,2,1,1,1,1,1,2,2,1,1,2,2,1,2,2,1,1,2,2,2,5,5,5,5,5,1,1,5,5
rural,10154,1,1,1,1,1,1,10,0,10,6,4,2,1,1,2,1,1,2,2,1,1,2,1,1,1,2,3,2,2,2,2,5,3,5,5,5,1,1,5,3
rural,10154,2,2,2,2,2,2,0,0,4,4,0,2,1,1,1,2,1,2,2,2,1,3,2,2,2,2,3,2,2,2,2,5,5,5,5,5,5,3,3,3
rural,10154,1,1,1,1,1,1,3,0,15,15,0,2,1,1,2,1,1,2,2,1,1,2,2,1,1,2,4,1,1,2,1,3,3,3,3,3,3,3,3,3
rural,10154,1,1,1,1,1,2,4,0,9,9,0,2,1,1,2,1,2,2,2,1,1,2,3,1,2,2,1,2,2,2,2,5,5,2,5,5,1,1,1,5
rural,10154,1,1,1,1,1,2,2,0,8,8,0,2,1,1,1,1,2,2,2,1,1,2,2,1,2,2,3,2,2,2,2,5,4,4,5,5,1,4,5,5
rural,10154,2,2,2,2,2,2,3,0,15,15,0,1,2,1,1,1,1,1,2,1,1,2,1,1,1,2,1,2,2,2,2,5,99,5,5,5,5,99,5,5
rural,10156,1,1,1,1,2,2,0,0,4,0,0,1,1,1,1,2,2,2,2,2,1,2,3,1,2,2,4,2,2,2,2,5,5,5,5,5,5,1,5,5
rural,10156,2,2,2,2,2,2,8,0,11,10,1,2,2,2,2,1,2,2,2,1,1,2,2,2,1,2,1,2,2,2,2,3,3,3,5,3,1,5,5,5
rural,10156,1,1,1,1,1,1,4,0,6,6,0,1,1,1,1,1,1,2,2,1,1,2,2,1,2,2,4,2,1,2,1,1,1,1,1,1,5,1,1,4
rural,10156,1,2,2,2,2,2,2,0,6,6,0,2,2,2,2,2,2,2,2,1,1,1,3,2,2,2,2,2,2,2,2,5,3,3,4,4,1,1,4,3
rural,10156,1,1,1,1,1,2,0,0,5,5,0,2,1,1,1,1,2,2,2,1,1,2,2,1,1,2,4,1,1,1,2,3,1,1,1,5,3,1,5,5
rural,10156,1,1,1,2,2,2,4,0,6,5,0,1,1,1,1,2,2,1,2,1,1,2,2,1,2,2,1,2,2,2,2,5,5,5,5,5,3,1,5,5
rural,10156,1,2,2,1,2,2,4,0,5,5,0,2,2,1,2,2,2,2,2,2,1,2,2,1,2,2,4,2,2,2,2,5,5,3,4,5,1,3,99,5
rural,10156,1,1,1,1,2,2,7,0,11,11,0,2,2,1,2,1,2,2,1,2,1,2,2,1,1,2,2,2,2,2,2,5,3,3,5,5,1,1,5,5
rural,10156,2,2,2,2,2,2,4,0,8,8,0,2,2,1,1,1,1,2,1,1,1,2,1,1,2,2,4,2,2,2,2,5,5,5,5,5,5,5,5,5
rural,10156,1,1,1,1,2,2,3,3,8,5,0,1,1,1,1,1,1,2,2,1,1,2,1,1,1,2,2,2,2,2,2,4,4,5,4,4,4,4,4,4
rural,10156,1,1,1,1,1,1,4,0,2,2,0,2,1,1,1,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,5,3,5,5,5,1,2,4,2
rural,10156,1,2,2,1,2,2,4,0,9,9,0,2,1,1,1,2,2,2,2,2,1,2,1,1,2,2,5,2,2,2,2,5,4,4,4,4,1,1,4,4
rural,10161,1,2,2,2,2,2,2,0,8,8,0,2,2,1,2,2,2,2,2,1,1,3,1,1,1,2,3,1,2,2,2,5,2,2,5,5,2,2,2,5
rural,10161,1,1,1,1,2,2,2,0,12,12,0,2,1,1,1,1,1,2,2,1,1,2,2,2,2,2,5,2,2,2,2,5,5,5,5,5,5,5,5,5
rural,10161,1,1,1,1,1,1,0,0,12,12,0,2,1,1,2,1,2,2,2,1,1,2,1,1,1,2,4,1,2,2,2,5,5,5,5,5,1,1,3,5
rural,10161,1,2,2,2,2,2,0,0,2,2,0,2,3,3,3,2,2,2,2,2,1,3,1,2,2,2,1,2,2,2,2,3,3,3,3,3,3,3,3,3
rural,10161,1,2,2,2,2,2,0,0,7,2,0,1,1,1,1,1,2,2,2,1,1,2,3,1,2,2,1,1,1,2,2,1,1,1,1,1,1,1,5,5
rural,10161,1,2,2,2,2,2,4,0,8,8,0,1,1,1,2,1,2,2,2,1,1,2,1,1,1,2,2,2,2,2,2,5,5,5,5,5,1,1,5,5
rural,10161,2,2,2,2,2,2,0,0,4,4,0,2,1,1,1,2,2,2,2,1,1,2,2,1,2,2,3,2,2,2,2,5,5,5,5,5,5,5,5,5
rural,10161,1,2,2,2,2,2,6,0,4,0,0,1,1,1,1,2,1,2,2,1,1,2,1,1,2,2,4,2,2,2,2,5,3,1,5,5,1,1,5,5
rural,10161,1,1,1,1,2,2,4,0,20,20,0,2,1,1,2,1,1,2,2,1,1,2,2,1,2,2,4,2,2,2,2,5,5,5,3,3,3,2,3,2
rural,10161,1,1,1,1,1,1,0,0,0,0,0,2,1,1,2,1,2,1,2,3,3,3,3,3,3,2,4,2,2,2,2,5,1,4,5,5,1,99,5,5
rural,10161,1,2,2,2,2,2,0,0,7,2,1,2,2,1,1,1,2,2,2,1,1,3,3,1,2,2,2,2,2,2,2,5,1,1,1,1,5,5,5,1
rural,10161,1,1,1,1,2,2,4,0,6,2,0,2,1,1,2,1,1,2,2,2,1,2,2,1,2,2,4,2,2,2,2,99,99,99,4,2,99,99,4,4
rural,10165,1,1,1,2,2,2,8,0,6,5,1,2,2,2,2,2,2,2,2,1,1,3,2,1,2,2,2,2,2,2,2,5,4,5,5,5,1,1,5,3
rural,10165,1,1,1,2,1,1,2,0,10,2,0,1,2,1,2,1,2,2,2,1,1,2,2,1,2,2,5,2,1,1,1,5,3,5,4,5,1,1,2,3
rural,10165,1,1,1,2,1,2,8,0,5,5,0,1,1,1,1,2,2,2,2,1,1,2,2,2,2,2,5,1,1,2,1,3,2,4,5,5,1,4,5,5
rural,10165,1,1,1,2,2,2,6,0,10,6,4,1,1,1,2,1,2,1,2,1,1,2,1,1,1,2,5,1,2,2,1,5,5,5,5,5,1,1,3,1
rural,10165,1,1,1,2,2,2,4,0,3,3,0,2,2,1,2,2,2,2,2,2,1,2,2,1,2,2,1,2,2,2,2,5,2,5,5,5,1,99,5,1
rural,10165,1,2,2,2,2,2,3,0,10,10,0,2,2,1,1,1,1,2,2,2,1,2,2,1,2,2,1,2,2,2,2,5,5,5,5,5,4,5,5,5
rural,10165,1,1,1,2,1,2,4,0,5,5,0,2,1,1,2,1,2,2,2,1,1,3,1,1,1,2,3,2,2,2,2,5,1,4,5,5,1,1,5,5
rural,10165,1,1,1,2,1,2,4,0,10,10,0,1,1,1,2,2,2,2,2,1,1,2,2,1,2,2,5,2,2,2,2,5,5,5,4,4,1,4,5,5
rural,10165,1,1,1,1,1,2,2,0,10,10,0,2,1,1,1,2,1,2,2,2,1,3,1,2,2,2,2,2,2,2,2,5,5,5,2,2,1,2,5,5
rural,10165,2,2,2,2,2,2,0,0,3,3,0,2,2,1,1,2,2,2,2,1,1,2,3,1,2,2,2,2,2,2,2,5,3,5,5,5,3,1,99,5
rural,10165,1,2,2,2,2,2,15,0,7,7,0,1,1,1,2,2,2,2,2,1,1,2,1,2,2,2,5,2,2,2,2,5,5,5,5,5,1,5,5,5
rural,10165,1,1,1,1,1,1,20,10,20,20,20,2,2,1,1,1,2,1,2,1,1,2,1,1,1,2,3,2,1,2,2,3,3,5,5,5,1,1,5,5
rural,10165,1,2,2,2,2,2,4,0,6,6,0,1,1,1,1,1,2,2,2,1,1,2,2,1,2,2,5,2,2,2,2,5,5,5,5,5,1,5,5,5
rural,10165,1,2,2,2,2,2,0,0,4,0,0,2,2,2,3,2,2,3,2,1,1,2,2,1,2,2,1,2,2,2,2,5,5,5,4,5,3,99,99,99
rural,10165,1,2,2,2,2,2,1,0,4,4,0,1,2,1,2,2,2,2,2,2,1,2,1,1,2,2,4,2,2,2,2,4,3,99,4,5,99,1,99,1
rural,10165,1,2,2,2,2,2,6,0,10,10,0,2,1,1,1,1,2,2,2,1,1,2,2,1,2,2,3,2,2,2,2,3,3,3,3,3,3,5,5,5
rural,10165,1,1,1,1,1,1,6,0,8,8,0,1,1,1,1,1,2,2,2,1,1,1,1,1,2,2,5,2,2,2,2,5,5,5,5,5,1,2,5,5
rural,10165,1,1,1,2,2,2,4,1,13,0,0,1,1,1,2,2,2,2,2,2,1,2,2,1,2,2,1,2,2,2,2,99,99,99,4,4,1,1,4,4
rural,10165,1,1,1,1,1,1,2,0,15,15,0,2,2,1,2,1,1,2,2,1,1,2,2,1,1,2,2,2,1,2,2,5,5,5,5,5,1,1,4,5
rural,10165,2,1,1,2,2,2,1,0,5,0,0,1,1,1,1,2,2,2,2,1,1,2,1,1,2,2,3,2,2,2,2,5,5,5,5,5,1,1,5,5
rural,10165,1,1,1,1,1,1,2,0,8,0,0,2,1,1,1,2,2,2,2,1,1,2,2,2,1,2,3,2,2,2,2,5,3,5,3,4,1,1,4,5
rural,10165,1,2,2,2,2,2,5,0,8,8,0,2,2,1,2,1,2,2,2,1,1,2,2,1,2,2,3,2,2,2,2,5,5,5,3,3,4,3,3,3
rural,10165,2,1,1,1,1,1,6,0,30,30,0,2,2,2,2,2,2,2,2,2,1,2,2,1,1,2,5,2,2,2,2,5,5,5,5,5,4,1,5,5
rural,10165,1,2,2,2,2,2,2,0,5,5,0,2,2,1,2,1,2,2,2,1,1,2,1,1,2,2,1,2,2,2,2,5,5,5,5,5,1,1,5,5
rural,10166,1,1,2,2,2,2,4,0,5,5,0,1,1,1,1,1,2,1,2,1,1,1,1,1,2,2,4,2,2,2,2,5,5,4,3,1,1,4,4,3
rural,10166,1,1,1,1,2,2,4,0,4,4,0,2,1,1,2,1,2,2,2,1,1,1,2,1,2,2,4,2,2,2,2,5,4,5,3,4,4,5,4,4
rural,10166,1,1,1,1,1,2,2,0,7,7,0,2,2,2,2,2,2,2,2,1,1,2,2,1,1,3,5,2,2,2,2,5,5,5,5,5,1,1,5,1
rural,10166,1,1,1,2,2,2,2,0,5,5,0,1,1,1,1,1,2,2,2,2,1,2,2,2,1,2,5,2,2,2,2,5,5,5,5,5,1,1,1,5
rural,10166,1,2,2,2,2,2,2,0,8,8,0,1,2,1,2,1,2,2,2,2,1,2,2,2,1,2,5,2,2,2,2,5,5,5,5,5,5,1,5,3
rural,10166,1,1,2,2,2,2,6,0,6,6,0,1,1,1,1,1,2,1,2,1,1,1,2,1,1,2,4,2,2,2,2,3,4,5,2,4,2,4,4,1
rural,10166,1,2,2,2,2,2,2,0,10,10,0,1,1,1,1,1,2,2,2,1,1,1,2,1,2,2,4,2,2,2,2,5,4,5,3,1,1,3,3,3
rural,10166,1,1,2,2,2,2,4,0,9,9,0,1,2,1,1,1,2,2,2,1,1,1,1,1,2,2,4,2,2,2,2,4,5,5,2,3,1,4,4,3
rural,10166,1,1,1,2,1,1,3,0,6,6,0,2,1,1,1,1,2,2,2,1,1,1,2,1,1,3,4,2,2,2,2,5,4,4,5,5,4,4,2,4
rural,10166,1,1,1,2,2,1,2,2,4,4,0,2,1,1,1,1,2,2,2,1,1,2,2,1,2,2,3,2,2,2,2,5,4,5,3,2,4,3,4,5
